citation,verse,sentiment
1KI.17.16,"The jar of meal wasted not, neither did the cruse of oil fail, according to the word of Jehovah, which he spake by Elijah.",2
EZK.1.13,"As for the likeness of the living creatures, their appearance was like burning coals of fire, like the appearance of torches: the fire went up and down among the living creatures; and the fire was bright, and out of the fire went forth lightning.",3
LEV.24.22,"Ye shall have one manner of law, as well for the sojourner, as for the home-born: for I am Jehovah your God.",1
ISA.38.3,"and said, Remember now, O Jehovah, I beseech thee, how I have walked before thee in truth and with a perfect heart, and have done that which is good in thy sight. And Hezekiah wept sore.",2
JDG.15.4,"And Samson went and caught three hundred foxes, and took firebrands, and turned tail to tail, and put a firebrand in the midst between every two tails.",1
1TI.3.10,"And let these also first be proved; then let them serve as deacons, if they be blameless.",1
GEN.14.10,"Now the vale of Siddim was full of slime pits; and the kings of Sodom and Gomorrah fled, and they fell there, and they that remained fled to the mountain.",3
2CH.7.5,"And king Solomon offered a sacrifice of twenty and two thousand oxen, and a hundred and twenty thousand sheep. So the king and all the people dedicated the house of God.",1
LEV.11.11,"and they shall be an abomination unto you; ye shall not eat of their flesh, and their carcasses ye shall have in abomination.",3
1CO.9.4,Have we no right to eat and to drink?,1
