citation,verse
JER.2.22,"For though you wash yourself with lye,
    and use much soap,
    yet your iniquity is marked before me,” says the Lord GOD."
JOS.14.14,"Therefore Hebron became the inheritance of Caleb the son of Jephunneh the Kenizzite to this day, because he followed the LORD, the God of Israel wholeheartedly."
ISA.30.23,"He will give the rain for your seed, with which you will sow the ground; and bread of the increase of the ground will be rich and plentiful. In that day, your livestock will feed in large pastures."
NUM.15.34,"They put him in custody, because it had not been declared what should be done to him."
2SA.11.4,"David sent messengers, and took her; and she came in to him, and he lay with her (for she was purified from her uncleanness); and she returned to her house."
1CH.19.14,So Joab and the people who were with him came near to the front of the Syrians to the battle; and they fled before him.
PSA.103.8,"The LORD is merciful and gracious,
    slow to anger, and abundant in loving kindness."
PSA.98.4,"Make a joyful noise to the LORD, all the earth!
    Burst out and sing for joy, yes, sing praises!"
LUK.11.10,For everyone who asks receives. He who seeks finds. To him who knocks it will be opened.
MRK.9.28,"When he had come into the house, his disciples asked him privately, “Why couldn’t we cast it out?”"
