citation,verse,sentiment
JOS.9.7,"The men of Israel said to the Hivites, “What if you live among us? How could we make a covenant with you?”",1
EPH.4.2,"with all lowliness and humility, with patience, bearing with one another in love,",2
1TH.4.3,"For this is the will of God: your sanctification, that you abstain from sexual immorality,",1
PSA.22.18,"They divide my garments among them.
    They cast lots for my clothing.",2
MRK.4.27,"and should sleep and rise night and day, and the seed should spring up and grow, though he doesn’t know how.",3
NUM.7.24,"On the third day Eliab the son of Helon, prince of the children of Zebulun,",1
JOB.28.12,"“But where will wisdom be found?
    Where is the place of understanding?",1
PSA.20.5,"We will triumph in your salvation.
    In the name of our God, we will set up our banners.
    May the LORD grant all your requests.",2
PSA.109.10,"Let his children be wandering beggars.
    Let them be sought from their ruins.",3
REV.6.7,"When he opened the fourth seal, I heard the fourth living creature saying, “Come and see!”",2
