chunk,start_citation,text,sentiment
3446,ISA.8.18,"Behold, I and the children whom the LORD has given me are for signs and for wonders in Israel from the LORD of Hosts, who dwells in Mount Zion. When they tell you, “Consult with those who have familiar spirits and with the wizards, who chirp and who mutter,” shouldn’t a people consult with their God? Should they consult the dead on behalf of the living? Turn to the law and to the covenant! If they don’t speak according to this word, surely there is no morning for them.",1
7033,NEH.7.1,"Now when the wall was built and I had set up the doors, and the gatekeepers and the singers and the Levites were appointed, I put my brother Hanani, and Hananiah the governor of the fortress, in charge of Jerusalem; for he was a faithful man and feared God above many. I said to them, “Don’t let the gates of Jerusalem be opened until the sun is hot; and while they stand guard, let them shut the doors, and you bar them; and appoint watches of the inhabitants of Jerusalem, everyone in his watch, with everyone near his house.”",1
4181,JER.44.20,"Then Jeremiah said to all the people—to the men and to the women, even to all the people who had given him an answer, saying, “The incense that you burned in the cities of Judah, and in the streets of Jerusalem, you and your fathers, your kings and your princes, and the people of the land, didn’t the LORD remember them, and didn’t it come into his mind? Thus the LORD could no longer bear it, because of the evil of your doings and because of the abominations which you have committed. Therefore your land has become a desolation, an astonishment, and a curse, without inhabitant, as it is today.",3
499,GEN.49.24,"But his bow remained strong.
    The arms of his hands were made strong,
    by the hands of the Mighty One of Jacob,
    (from there is the shepherd, the stone of Israel), even by the God of your father, who will help you,
    by the Almighty, who will bless you,
  with blessings of heaven above,
    blessings of the deep that lies below,
    blessings of the breasts, and of the womb. The blessings of your father have prevailed above the blessings of my ancestors,
    above the boundaries of the ancient hills.
  They will be on the head of Joseph,
    on the crown of the head of him who is separated from his brothers.",2
2532,1SA.18.5,"David went out wherever Saul sent him, and behaved himself wisely; and Saul set him over the men of war. It was good in the sight of all the people, and also in the sight of Saul’s servants. As they came, when David returned from the slaughter of the Philistine, the women came out of all the cities of Israel, singing and dancing, to meet King Saul with tambourines, with joy, and with instruments of music. The women sang to one another as they played, and said,
  “Saul has slain his thousands,
    and David his ten thousands.”",2
4236,JER.50.29,"“Call together the archers against Babylon,
    all those who bend the bow.
  Encamp against her all around.
    Let none of it escape.
  Pay her back according to her work.
    According to all that she has done, do to her;
  for she has been proud against the LORD,
    against the Holy One of Israel. Therefore her young men will fall in her streets.
    All her men of war will be brought to silence in that day,” says the LORD. “Behold, I am against you, you proud one,” says the Lord, the LORD of Hosts;
    “for your day has come,
    the time that I will visit you.",3
5307,PSA.52.4,"You love all devouring words,
    you deceitful tongue. God will likewise destroy you forever.
    He will take you up, and pluck you out of your tent,
    and root you out of the land of the living. Selah. The righteous also will see it, and fear,
    and laugh at him, saying,",3
9942,2TI.2.3,"You therefore must endure hardship as a good soldier of Messiah Yeshua. No soldier on duty entangles himself in the affairs of life, that he may please him who enrolled him as a soldier. Also, if anyone competes in athletics, he isn’t crowned unless he has competed by the rules.",1
4226,JER.49.38,"I will set my throne in Elam,
    and will destroy from there king and princes,’ says the LORD. ‘But it will happen in the latter days
    that I will reverse the captivity of Elam,’ says the LORD.” The word that the LORD spoke concerning Babylon, concerning the land of the Kasdim, by Jeremiah the prophet.",3
9476,1CO.3.22,"whether Paul, or Apollos, or Kefa, or the world, or life, or death, or things present, or things to come. All are yours, and you are Messiah’s, and Messiah is God’s. So let a man think of us as Messiah’s servants and stewards of God’s mysteries.",1
